policy,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
bake_to_par,0,0,-203.90,70,76,6,0,15.13,240,408.20
bake_to_par,0,1,-242.00,52,52,0,0,11.15,229,395.60
bake_to_par,0,2,-310.50,49,49,0,0,10.82,266,454.20
bake_to_par,0,3,-365.60,57,57,0,0,11.40,318,530.00
bake_to_par,0,4,-147.40,81,81,0,0,11.11,232,388.00
bake_to_par,0,5,-210.90,62,62,0,0,11.45,221,387.00
bake_to_par,0,6,-92.40,65,66,1,0,11.82,173,294.00
bake_to_par,0,7,-157.00,64,65,0,0,11.08,205,349.60
bake_to_par,0,8,-252.00,48,48,0,0,10.21,225,392.40
bake_to_par,0,9,-198.30,64,64,0,0,11.56,234,390.60
bake_to_par,0,10,-301.60,55,55,0,0,11.64,276,461.20
bake_to_par,0,11,-165.80,52,52,0,0,11.15,193,332.00
bake_to_par,0,12,-77.80,72,72,0,0,11.53,182,301.60
bake_to_par,0,13,-281.90,58,58,0,0,11.21,278,463.40
bake_to_par,0,14,-190.70,63,63,0,0,10.48,232,386.60
bake_to_par,0,15,-344.20,65,65,0,0,10.31,316,534.40
bake_to_par,0,16,-358.10,50,50,0,0,11.00,290,495.80
bake_to_par,0,17,-257.20,45,45,0,0,11.56,219,386.80
bake_to_par,0,18,-272.30,63,63,0,0,11.90,258,444.20
bake_to_par,0,19,-467.40,52,52,0,0,10.38,388,631.20
bake_to_par,1,0,-155.90,57,57,0,0,11.75,202,338.60
bake_to_par,1,1,-339.70,54,54,0,0,11.30,291,494.20
bake_to_par,1,2,-363.60,55,55,0,0,10.91,311,524.40
bake_to_par,1,3,-200.50,57,57,0,0,10.53,209,364.60
bake_to_par,1,4,-304.00,55,55,0,0,12.00,273,463.60
bake_to_par,1,5,-264.00,51,51,0,0,11.37,229,406.80
bake_to_par,1,6,-361.30,50,50,0,0,11.20,302,508.60
bake_to_par,1,7,-323.50,53,53,0,0,10.57,273,471.40
bake_to_par,1,8,-211.50,50,51,1,0,12.35,205,359.40
bake_to_par,1,9,-261.50,56,56,0,0,10.89,244,420.20
bake_to_par,1,10,-320.30,68,68,0,0,11.76,304,513.80
bake_to_par,1,11,-237.30,61,61,0,0,11.97,238,411.00
bake_to_par,1,12,-145.70,66,68,2,0,12.79,196,337.40
bake_to_par,1,13,-210.50,61,61,0,0,10.33,238,397.40
bake_to_par,1,14,-187.70,59,59,0,0,11.69,210,359.00
bake_to_par,1,15,-307.90,60,62,2,0,13.39,285,483.40
bake_to_par,1,16,-194.10,61,61,0,0,11.31,212,367.80
bake_to_par,1,17,-203.90,78,78,0,0,11.15,258,429.80
bake_to_par,1,18,-223.70,60,60,0,0,11.50,235,399.80
bake_to_par,1,19,-343.00,51,51,0,0,10.78,279,484.00
bake_to_par,2,0,-180.10,51,51,0,0,10.39,189,333.40
bake_to_par,2,1,-136.30,68,68,0,0,12.06,201,339.40
bake_to_par,2,2,-219.30,56,57,1,0,11.58,227,387.00
bake_to_par,2,3,-163.90,62,62,0,0,11.45,197,341.80
bake_to_par,2,4,-128.70,60,60,0,0,11.33,184,313.80
bake_to_par,2,5,-101.20,70,70,0,0,11.43,179,307.60
bake_to_par,2,6,-179.30,70,70,0,0,11.43,226,383.00
bake_to_par,2,7,-207.90,55,55,0,0,11.45,218,371.40
bake_to_par,2,8,-150.00,69,70,0,0,10.86,205,349.20
bake_to_par,2,9,-261.50,50,50,0,0,10.20,245,413.00
bake_to_par,2,10,-223.00,48,48,0,0,10.83,212,366.40
bake_to_par,2,11,-185.40,61,62,1,0,11.61,222,372.00
bake_to_par,2,12,-167.80,65,65,0,0,10.62,211,361.60
bake_to_par,2,13,-326.80,58,60,2,0,12.00,298,502.00
bake_to_par,2,14,-109.80,73,73,0,0,11.10,195,331.20
bake_to_par,2,15,-159.60,67,68,0,0,11.03,210,356.40
bake_to_par,2,16,-165.70,54,54,0,0,11.11,195,333.40
bake_to_par,2,17,-268.60,64,64,0,0,11.09,261,450.40
bake_to_par,2,18,-126.00,77,77,0,0,11.30,211,354.00
bake_to_par,2,19,-101.30,62,62,0,0,11.29,174,296.60
bake_to_par,3,0,-228.70,70,70,0,0,12.57,249,425.80
bake_to_par,3,1,-742.70,43,44,0,0,11.36,523,871.40
bake_to_par,3,2,-432.40,58,58,0,0,10.52,362,602.80
bake_to_par,3,3,-171.30,56,58,1,0,11.38,195,339.00
bake_to_par,3,4,-162.10,73,73,0,0,11.23,228,381.40
bake_to_par,3,5,-198.90,57,57,0,0,10.53,207,360.60
bake_to_par,3,6,-480.60,51,51,0,0,11.18,386,636.00
bake_to_par,3,7,-347.20,64,64,0,0,11.25,325,540.40
bake_to_par,3,8,-296.00,57,57,0,0,10.53,269,460.40
bake_to_par,3,9,-284.00,68,70,2,0,12.71,283,479.60
bake_to_par,3,10,-424.80,49,49,0,0,10.41,343,577.20
bake_to_par,3,11,-217.40,58,58,0,0,11.03,228,389.60
bake_to_par,3,12,-348.00,53,53,0,0,10.75,293,498.00
bake_to_par,3,13,-316.20,50,50,0,0,10.60,268,460.80
bake_to_par,3,14,-86.00,68,69,1,0,12.90,167,287.60
bake_to_par,3,15,-253.60,51,51,0,0,10.78,240,408.40
bake_to_par,3,16,-275.40,58,59,1,0,12.37,264,446.40
bake_to_par,3,17,-146.00,61,61,0,0,10.82,194,330.80
bake_to_par,3,18,-273.20,65,65,0,0,12.62,268,460.40
bake_to_par,3,19,-177.10,51,51,0,0,10.98,194,334.60
bake_to_par,4,0,-85.60,67,69,2,0,13.48,161,283.60
bake_to_par,4,1,-237.20,49,49,0,0,12.04,218,378.80
bake_to_par,4,2,-288.60,50,50,0,0,11.80,251,432.00
bake_to_par,4,3,-261.70,56,56,0,0,11.43,256,431.80
bake_to_par,4,4,-38.20,77,77,0,0,14.03,161,272.80
bake_to_par,4,5,-205.40,66,67,1,0,11.79,219,392.00
bake_to_par,4,6,-234.40,61,61,0,0,12.30,243,413.20
bake_to_par,4,7,-273.20,57,57,0,0,11.23,260,441.20
bake_to_par,4,8,-170.70,57,57,0,0,10.88,195,340.20
bake_to_par,4,9,-254.40,62,62,0,0,12.74,258,438.00
bake_to_par,4,10,-114.10,60,61,1,0,11.15,171,297.40
bake_to_par,4,11,-294.10,61,62,1,0,12.74,280,472.60
bake_to_par,4,12,-179.50,67,67,0,0,12.69,215,370.60
bake_to_par,4,13,-251.70,51,51,0,0,12.16,240,411.00
bake_to_par,4,14,-312.40,60,60,0,0,11.33,303,494.80
bake_to_par,4,15,-262.80,65,65,0,0,10.46,266,447.60
bake_to_par,4,16,-320.70,46,46,0,0,11.30,258,445.80
bake_to_par,4,17,-209.50,61,61,0,0,10.98,224,385.00
bake_to_par,4,18,-355.80,48,48,0,0,10.62,295,501.60
bake_to_par,4,19,-129.70,75,75,0,0,13.07,218,359.80
bake_to_par,5,0,-298.90,54,54,0,0,11.11,259,448.60
bake_to_par,5,1,-141.80,62,64,2,0,12.66,193,329.60
bake_to_par,5,2,-324.50,52,53,1,0,11.89,282,479.00
bake_to_par,5,3,-222.90,54,55,1,0,10.91,212,372.60
bake_to_par,5,4,-267.20,51,51,0,0,11.18,259,431.60
bake_to_par,5,5,-103.20,70,70,0,0,11.29,190,320.40
bake_to_par,5,6,-169.00,61,66,4,0,14.85,211,354.40
bake_to_par,5,7,-161.10,68,68,0,0,11.62,212,361.80
bake_to_par,5,8,-222.10,55,56,1,0,12.32,234,395.80
bake_to_par,5,9,-267.40,46,46,0,0,10.87,233,402.40
bake_to_par,5,10,-201.90,56,56,0,0,11.07,215,369.00
bake_to_par,5,11,-246.60,58,58,0,0,11.03,245,420.00
bake_to_par,5,12,-123.90,73,73,0,0,11.78,188,330.60
bake_to_par,5,13,-106.10,71,72,1,0,12.78,184,315.80
bake_to_par,5,14,-148.80,66,66,0,0,11.67,199,342.00
bake_to_par,5,15,-283.80,50,51,0,0,11.37,255,432.00
bake_to_par,5,16,-213.60,65,67,0,0,11.94,232,399.60
bake_to_par,5,17,-187.40,46,46,0,0,10.65,194,334.40
bake_to_par,5,18,-173.60,63,64,1,0,12.50,214,362.00
bake_to_par,5,19,-323.80,45,45,0,0,10.67,265,455.20
bake_to_par,6,0,-177.50,65,65,0,0,11.38,203,357.80
bake_to_par,6,1,-107.80,65,66,1,0,12.58,178,304.00
