model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo_bandit.zip,1,0,0,30.80,11,76,65,0,54.34,6,8.40
models/best_ppo_bandit.zip,1,0,1,25.20,11,52,40,0,53.85,6,8.40
models/best_ppo_bandit.zip,1,0,2,19.60,11,49,38,0,48.37,6,8.40
models/best_ppo_bandit.zip,1,0,3,25.20,11,57,46,0,50.18,6,8.40
models/best_ppo_bandit.zip,1,0,4,19.60,11,81,68,0,55.31,6,8.40
models/best_ppo_bandit.zip,1,0,5,25.20,11,62,50,0,52.58,6,8.40
models/best_ppo_bandit.zip,1,0,6,25.20,11,66,54,0,51.06,6,8.40
models/best_ppo_bandit.zip,1,0,7,16.20,9,65,55,0,51.38,8,12.00
models/best_ppo_bandit.zip,1,0,8,25.20,11,48,37,0,47.92,6,8.40
models/best_ppo_bandit.zip,1,0,9,25.20,11,64,53,0,52.50,6,8.40
models/best_ppo_bandit.zip,1,0,10,25.20,11,55,44,0,54.55,6,8.40
models/best_ppo_bandit.zip,1,0,11,31.50,14,52,38,0,48.85,7,10.20
models/best_ppo_bandit.zip,1,0,12,25.20,11,72,60,0,53.89,6,8.40
models/best_ppo_bandit.zip,1,0,13,25.20,11,58,47,0,53.62,6,8.40
models/best_ppo_bandit.zip,1,0,14,25.20,11,63,52,0,48.73,6,8.40
models/best_ppo_bandit.zip,1,0,15,25.20,11,65,52,0,53.69,6,8.40
models/best_ppo_bandit.zip,1,0,16,25.20,11,50,39,0,50.80,6,8.40
models/best_ppo_bandit.zip,1,0,17,25.20,11,45,34,0,51.78,6,8.40
models/best_ppo_bandit.zip,1,0,18,25.20,11,63,52,0,59.05,6,8.40
models/best_ppo_bandit.zip,1,0,19,25.20,11,52,40,0,49.62,6,8.40
models/best_ppo_bandit.zip,1,1,0,20.70,10,57,47,0,51.93,7,10.20
models/best_ppo_bandit.zip,1,1,1,25.20,11,54,42,0,49.81,6,8.40
models/best_ppo_bandit.zip,1,1,2,14.70,9,55,45,0,50.73,8,12.60
models/best_ppo_bandit.zip,1,1,3,20.70,10,57,45,0,51.93,7,10.20
models/best_ppo_bandit.zip,1,1,4,25.20,11,55,44,0,50.18,6,8.40
models/best_ppo_bandit.zip,1,1,5,25.20,11,51,40,0,51.76,6,8.40
models/best_ppo_bandit.zip,1,1,6,25.20,11,50,37,0,52.40,6,8.40
models/best_ppo_bandit.zip,1,1,7,20.70,10,53,43,0,50.00,7,10.20
models/best_ppo_bandit.zip,1,1,8,16.20,9,51,41,0,51.37,8,12.00
models/best_ppo_bandit.zip,1,1,9,16.20,9,56,47,0,51.96,8,12.00
models/best_ppo_bandit.zip,1,1,10,25.20,11,68,57,0,51.32,6,8.40
models/best_ppo_bandit.zip,1,1,11,25.20,11,61,50,0,52.30,6,8.40
models/best_ppo_bandit.zip,1,1,12,25.20,11,68,57,0,53.68,6,8.40
models/best_ppo_bandit.zip,1,1,13,25.20,11,61,50,0,54.92,6,8.40
models/best_ppo_bandit.zip,1,1,14,25.20,11,59,47,0,49.66,6,8.40
models/best_ppo_bandit.zip,1,1,15,25.20,11,62,50,0,50.16,6,8.40
models/best_ppo_bandit.zip,1,1,16,25.20,11,61,50,0,50.16,6,8.40
models/best_ppo_bandit.zip,1,1,17,25.20,11,78,67,0,56.03,6,8.40
models/best_ppo_bandit.zip,1,1,18,20.70,10,60,49,0,51.50,7,10.20
models/best_ppo_bandit.zip,1,1,19,25.20,11,51,40,0,46.47,6,8.40
models/best_ppo_bandit.zip,1,2,0,25.20,11,51,39,0,54.71,6,8.40
models/best_ppo_bandit.zip,1,2,1,25.20,11,68,57,0,51.91,6,8.40
models/best_ppo_bandit.zip,1,2,2,25.20,11,57,45,0,53.86,6,8.40
models/best_ppo_bandit.zip,1,2,3,20.70,10,62,52,0,51.94,7,10.20
models/best_ppo_bandit.zip,1,2,4,20.70,10,60,48,0,45.50,7,10.20
models/best_ppo_bandit.zip,1,2,5,25.20,11,70,59,0,51.00,6,8.40
models/best_ppo_bandit.zip,1,2,6,25.20,11,70,59,0,59.43,6,8.40
models/best_ppo_bandit.zip,1,2,7,25.20,11,55,44,0,52.18,6,8.40
models/best_ppo_bandit.zip,1,2,8,25.20,11,70,56,0,51.57,6,8.40
models/best_ppo_bandit.zip,1,2,9,16.20,9,50,41,0,52.00,8,12.00
models/best_ppo_bandit.zip,1,2,10,25.20,11,48,37,0,50.83,6,8.40
models/best_ppo_bandit.zip,1,2,11,25.20,11,62,51,0,53.39,6,8.40
models/best_ppo_bandit.zip,1,2,12,25.20,11,65,54,0,50.31,6,8.40
models/best_ppo_bandit.zip,1,2,13,20.70,10,60,48,0,53.33,7,10.20
models/best_ppo_bandit.zip,1,2,14,25.20,11,73,61,0,51.37,6,8.40
models/best_ppo_bandit.zip,1,2,15,16.20,9,68,56,0,48.38,8,12.00
models/best_ppo_bandit.zip,1,2,16,16.20,9,54,45,0,47.78,8,12.00
models/best_ppo_bandit.zip,1,2,17,25.20,11,64,52,0,52.97,6,8.40
models/best_ppo_bandit.zip,1,2,18,20.70,10,77,67,0,56.88,7,10.20
models/best_ppo_bandit.zip,1,2,19,25.20,11,62,51,0,54.52,6,8.40
models/best_ppo_bandit.zip,1,3,0,25.20,11,70,59,0,57.14,6,8.40
models/best_ppo_bandit.zip,1,3,1,16.20,9,44,34,0,47.05,8,12.00
models/best_ppo_bandit.zip,1,3,2,16.20,9,58,49,0,54.48,8,12.00
models/best_ppo_bandit.zip,1,3,3,25.20,11,58,46,0,46.90,6,8.40
models/best_ppo_bandit.zip,1,3,4,20.70,10,73,63,0,54.93,7,10.20
models/best_ppo_bandit.zip,1,3,5,25.20,11,57,46,0,51.58,6,8.40
models/best_ppo_bandit.zip,1,3,6,25.20,11,51,40,0,56.47,6,8.40
models/best_ppo_bandit.zip,1,3,7,20.70,10,64,53,0,55.16,7,10.20
models/best_ppo_bandit.zip,1,3,8,25.20,11,57,46,0,52.81,6,8.40
models/best_ppo_bandit.zip,1,3,9,25.20,11,70,59,0,55.57,6,8.40
models/best_ppo_bandit.zip,1,3,10,20.70,10,49,39,0,50.41,7,10.20
models/best_ppo_bandit.zip,1,3,11,25.20,11,58,47,0,50.86,6,8.40
models/best_ppo_bandit.zip,1,3,12,25.20,11,53,42,0,49.81,6,8.40
models/best_ppo_bandit.zip,1,3,13,25.20,11,50,38,0,51.60,6,8.40
models/best_ppo_bandit.zip,1,3,14,25.20,11,69,57,0,52.17,6,8.40
models/best_ppo_bandit.zip,1,3,15,25.20,11,51,39,0,52.35,6,8.40
models/best_ppo_bandit.zip,1,3,16,25.20,11,59,47,0,55.25,6,8.40
models/best_ppo_bandit.zip,1,3,17,25.20,11,61,50,0,55.25,6,8.40
models/best_ppo_bandit.zip,1,3,18,25.20,11,65,53,0,55.54,6,8.40
models/best_ppo_bandit.zip,1,3,19,16.20,9,51,41,0,50.20,8,12.00
models/best_ppo_bandit.zip,1,4,0,25.20,11,69,56,0,53.33,6,8.40
models/best_ppo_bandit.zip,1,4,1,16.20,9,49,40,0,54.08,8,12.00
models/best_ppo_bandit.zip,1,4,2,25.20,11,50,39,0,52.00,6,8.40
models/best_ppo_bandit.zip,1,4,3,25.20,11,56,45,0,51.25,6,8.40
models/best_ppo_bandit.zip,1,4,4,25.20,11,77,66,0,53.25,6,8.40
models/best_ppo_bandit.zip,1,4,5,25.20,11,67,56,0,53.28,6,8.40
models/best_ppo_bandit.zip,1,4,6,25.20,11,61,49,0,51.15,6,8.40
models/best_ppo_bandit.zip,1,4,7,25.20,11,57,46,0,53.51,6,8.40
models/best_ppo_bandit.zip,1,4,8,25.20,11,57,46,0,52.63,6,8.40
models/best_ppo_bandit.zip,1,4,9,25.20,11,62,51,0,52.42,6,8.40
models/best_ppo_bandit.zip,1,4,10,16.20,9,61,50,0,52.79,8,12.00
models/best_ppo_bandit.zip,1,4,11,25.20,11,62,51,0,55.32,6,8.40
models/best_ppo_bandit.zip,1,4,12,25.20,11,67,55,0,57.91,6,8.40
models/best_ppo_bandit.zip,1,4,13,16.20,9,51,42,0,52.75,8,12.00
models/best_ppo_bandit.zip,1,4,14,25.20,11,60,49,0,51.67,6,8.40
models/best_ppo_bandit.zip,1,4,15,25.20,11,65,54,0,50.46,6,8.40
models/best_ppo_bandit.zip,1,4,16,25.20,11,46,35,0,55.65,6,8.40
models/best_ppo_bandit.zip,1,4,17,25.20,11,61,49,0,55.90,6,8.40
models/best_ppo_bandit.zip,1,4,18,20.70,10,48,37,0,52.71,7,10.20
models/best_ppo_bandit.zip,1,4,19,25.20,11,75,63,0,53.47,6,8.40
models/best_ppo_bandit.zip,1,5,0,25.20,11,54,42,0,44.63,6,8.40
models/best_ppo_bandit.zip,1,5,1,25.20,11,64,53,0,52.66,6,8.40
models/best_ppo_bandit.zip,1,5,2,25.20,11,53,41,0,47.74,6,8.40
