model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo_bandit.zip,1,0,0,19.60,11,76,65,0,53.95,6,8.40
models/best_ppo_bandit.zip,1,0,1,30.80,11,52,40,0,53.85,6,8.40
models/best_ppo_bandit.zip,1,0,2,25.20,11,49,38,0,48.37,6,8.40
models/best_ppo_bandit.zip,1,0,3,25.20,11,57,46,0,50.18,6,8.40
models/best_ppo_bandit.zip,1,0,4,30.80,11,81,68,0,55.31,6,8.40
models/best_ppo_bandit.zip,1,1,0,20.70,10,57,47,0,52.46,7,10.20
models/best_ppo_bandit.zip,1,1,1,25.20,11,54,42,0,49.81,6,8.40
models/best_ppo_bandit.zip,1,1,2,16.20,9,55,45,0,51.27,8,12.00
models/best_ppo_bandit.zip,1,1,3,20.70,10,57,45,0,51.93,7,10.20
models/best_ppo_bandit.zip,1,1,4,25.20,11,55,44,0,50.91,6,8.40
models/best_ppo_bandit.zip,1,2,0,25.20,11,51,39,0,54.71,6,8.40
models/best_ppo_bandit.zip,1,2,1,25.20,11,68,57,0,53.68,6,8.40
models/best_ppo_bandit.zip,1,2,2,25.20,11,57,45,0,55.09,6,8.40
models/best_ppo_bandit.zip,1,2,3,16.20,9,62,53,0,55.65,8,12.00
models/best_ppo_bandit.zip,1,2,4,20.70,10,60,48,0,45.50,7,10.20
models/best_ppo_bandit.zip,1,3,0,25.20,11,70,59,0,56.57,6,8.40
models/best_ppo_bandit.zip,1,3,1,16.20,9,44,34,0,49.09,8,12.00
models/best_ppo_bandit.zip,1,3,2,16.20,9,58,49,0,54.48,8,12.00
models/best_ppo_bandit.zip,1,3,3,25.20,11,58,46,0,46.90,6,8.40
models/best_ppo_bandit.zip,1,3,4,25.20,11,73,62,0,53.56,6,8.40
models/best_ppo_bandit.zip,1,4,0,25.20,11,69,56,0,52.32,6,8.40
models/best_ppo_bandit.zip,1,4,1,16.20,9,49,40,0,53.88,8,12.00
models/best_ppo_bandit.zip,1,4,2,25.20,11,50,39,0,53.00,6,8.40
models/best_ppo_bandit.zip,1,4,3,25.20,11,56,45,0,51.61,6,8.40
models/best_ppo_bandit.zip,1,4,4,25.20,11,77,66,0,53.77,6,8.40
models/best_ppo_bandit.zip,1,5,0,25.20,11,54,42,0,45.37,6,8.40
models/best_ppo_bandit.zip,1,5,1,25.20,11,64,53,0,52.03,6,8.40
models/best_ppo_bandit.zip,1,5,2,25.20,11,53,41,0,47.36,6,8.40
models/best_ppo_bandit.zip,1,5,3,25.20,11,55,44,0,47.09,6,8.40
models/best_ppo_bandit.zip,1,5,4,16.20,9,51,41,0,48.82,8,12.00
models/best_ppo_bandit.zip,1,6,0,25.20,11,65,54,0,51.85,6,8.40
models/best_ppo_bandit.zip,1,6,1,25.20,11,66,55,0,55.61,6,8.40
models/best_ppo_bandit.zip,1,6,2,25.20,11,60,49,0,54.00,6,8.40
models/best_ppo_bandit.zip,1,6,3,25.20,11,60,49,0,51.83,6,8.40
models/best_ppo_bandit.zip,1,6,4,20.70,10,60,50,0,55.67,7,10.20
models/best_ppo_bandit.zip,1,7,0,25.20,11,66,53,0,46.06,6,8.40
models/best_ppo_bandit.zip,1,7,1,25.20,11,57,46,0,53.33,6,8.40
models/best_ppo_bandit.zip,1,7,2,25.20,11,56,45,0,45.18,6,8.40
models/best_ppo_bandit.zip,1,7,3,25.20,11,65,53,0,52.46,6,8.40
models/best_ppo_bandit.zip,1,7,4,25.20,11,67,55,0,52.69,6,8.40
models/best_ppo_bandit.zip,1,8,0,25.20,11,51,40,0,51.37,6,8.40
models/best_ppo_bandit.zip,1,8,1,25.20,11,73,62,0,55.21,6,8.40
models/best_ppo_bandit.zip,1,8,2,25.20,11,62,50,0,52.58,6,8.40
models/best_ppo_bandit.zip,1,8,3,25.20,11,63,52,0,50.32,6,8.40
models/best_ppo_bandit.zip,1,8,4,25.20,11,70,59,0,56.00,6,8.40
models/best_ppo_bandit.zip,1,9,0,25.20,11,71,59,0,54.08,6,8.40
models/best_ppo_bandit.zip,1,9,1,25.20,11,66,55,0,56.82,6,8.40
models/best_ppo_bandit.zip,1,9,2,25.20,11,58,45,0,48.45,6,8.40
models/best_ppo_bandit.zip,1,9,3,25.20,11,53,42,0,48.49,6,8.40
models/best_ppo_bandit.zip,1,9,4,16.20,9,66,57,0,55.15,8,12.00
