model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/ppo_par_v3_1e6.zip,0,0,0,-31.60,7,76,69,0,56.18,36,59.20
models/ppo_par_v3_1e6.zip,0,0,1,-20.70,7,52,44,0,57.69,29,47.40
models/ppo_par_v3_1e6.zip,0,0,2,-23.60,4,49,45,0,55.10,24,39.20
models/ppo_par_v3_1e6.zip,0,0,3,-20.70,7,57,50,0,52.98,29,47.40
models/ppo_par_v3_1e6.zip,0,0,4,-25.20,6,81,73,0,57.04,30,49.20
models/ppo_par_v3_1e6.zip,0,1,0,-20.70,7,57,50,0,53.16,29,47.40
models/ppo_par_v3_1e6.zip,0,1,1,-16.20,8,54,46,0,52.96,28,45.60
models/ppo_par_v3_1e6.zip,0,1,2,-37.20,4,55,50,0,57.27,32,54.00
models/ppo_par_v3_1e6.zip,0,1,3,-20.70,7,57,48,0,54.56,29,47.40
models/ppo_par_v3_1e6.zip,0,1,4,-25.20,6,55,49,0,54.55,30,49.20
models/ppo_par_v3_1e6.zip,0,2,0,-25.20,6,51,45,0,58.24,30,49.20
models/ppo_par_v3_1e6.zip,0,2,1,-21.80,6,68,62,0,56.32,26,42.80
models/ppo_par_v3_1e6.zip,0,2,2,-19.10,5,57,51,0,59.12,23,37.40
models/ppo_par_v3_1e6.zip,0,2,3,-23.60,4,62,58,0,57.58,24,39.20
models/ppo_par_v3_1e6.zip,0,2,4,-23.60,4,60,54,0,50.83,24,39.20
models/ppo_par_v3_1e6.zip,0,3,0,-23.60,4,70,66,0,61.29,24,39.20
models/ppo_par_v3_1e6.zip,0,3,1,-20.60,5,44,38,0,51.59,23,38.00
models/ppo_par_v3_1e6.zip,0,3,2,-23.60,4,58,54,0,57.93,24,39.20
models/ppo_par_v3_1e6.zip,0,3,3,-23.60,4,58,53,0,51.38,24,39.20
models/ppo_par_v3_1e6.zip,0,3,4,-19.10,5,73,68,0,57.40,23,37.40
models/ppo_par_v3_1e6.zip,0,4,0,-23.60,4,69,63,0,56.38,24,39.20
models/ppo_par_v3_1e6.zip,0,4,1,-14.60,6,49,43,0,54.69,22,35.60
models/ppo_par_v3_1e6.zip,0,4,2,-23.60,4,50,46,0,57.80,24,39.20
models/ppo_par_v3_1e6.zip,0,4,3,-19.10,5,56,51,0,55.89,23,37.40
models/ppo_par_v3_1e6.zip,0,4,4,-23.60,4,77,73,0,56.23,24,39.20
models/ppo_par_v3_1e6.zip,0,5,0,-19.10,5,54,48,0,50.93,23,37.40
models/ppo_par_v3_1e6.zip,0,5,1,-14.60,6,64,58,0,55.31,22,35.60
models/ppo_par_v3_1e6.zip,0,5,2,-23.60,4,53,48,0,53.77,24,39.20
models/ppo_par_v3_1e6.zip,0,5,3,-23.60,4,55,51,0,53.64,24,39.20
models/ppo_par_v3_1e6.zip,0,5,4,-23.60,4,51,46,0,54.12,24,39.20
