model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/ppo_profitbandit_1e6.zip,1,0,0,45.90,13,76,63,0,53.95,4,7.20
models/ppo_profitbandit_1e6.zip,1,0,1,45.90,13,52,38,0,51.15,4,7.20
models/ppo_profitbandit_1e6.zip,1,0,2,28.35,10,49,39,0,47.96,7,12.60
models/ppo_profitbandit_1e6.zip,1,0,3,28.35,10,57,47,0,52.46,7,12.60
models/ppo_profitbandit_1e6.zip,1,0,4,40.05,12,81,67,0,56.17,5,9.00
models/ppo_profitbandit_1e6.zip,1,1,0,32.25,10,57,47,0,52.81,7,11.40
models/ppo_profitbandit_1e6.zip,1,1,1,30.95,10,54,44,0,50.93,7,11.80
models/ppo_profitbandit_1e6.zip,1,1,2,14.70,8,55,46,0,52.18,9,16.80
models/ppo_profitbandit_1e6.zip,1,1,3,40.05,12,57,43,0,50.35,5,9.00
models/ppo_profitbandit_1e6.zip,1,1,4,17.95,8,55,47,0,53.82,9,15.80
models/ppo_profitbandit_1e6.zip,1,2,0,19.25,8,51,42,0,56.67,9,15.40
models/ppo_profitbandit_1e6.zip,1,2,1,40.05,12,68,56,0,55.15,5,9.00
models/ppo_profitbandit_1e6.zip,1,2,2,34.20,11,57,45,0,52.81,6,10.80
models/ppo_profitbandit_1e6.zip,1,2,3,26.40,10,62,52,0,52.42,7,13.20
models/ppo_profitbandit_1e6.zip,1,2,4,25.10,9,60,49,0,48.00,8,13.60
models/ppo_profitbandit_1e6.zip,1,3,0,29.65,10,70,60,0,57.57,7,12.20
models/ppo_profitbandit_1e6.zip,1,3,1,8.20,6,44,37,0,50.00,11,18.80
models/ppo_profitbandit_1e6.zip,1,3,2,14.70,7,58,51,0,55.17,10,16.80
models/ppo_profitbandit_1e6.zip,1,3,3,28.35,10,58,47,0,47.41,7,12.60
models/ppo_profitbandit_1e6.zip,1,3,4,40.05,12,73,61,0,52.33,5,9.00
models/ppo_profitbandit_1e6.zip,1,4,0,26.40,10,69,57,0,51.88,7,13.20
models/ppo_profitbandit_1e6.zip,1,4,1,20.55,8,49,41,0,53.67,9,15.00
models/ppo_profitbandit_1e6.zip,1,4,2,17.95,8,50,42,0,54.60,9,15.80
models/ppo_profitbandit_1e6.zip,1,4,3,4.95,5,56,51,0,56.07,12,19.80
models/ppo_profitbandit_1e6.zip,1,4,4,28.35,10,77,67,0,53.38,7,12.60
models/ppo_profitbandit_1e6.zip,1,5,0,-2.20,5,54,48,0,50.74,12,22.00
models/ppo_profitbandit_1e6.zip,1,5,1,26.40,10,64,54,0,53.28,7,13.20
models/ppo_profitbandit_1e6.zip,1,5,2,28.35,10,53,42,0,49.25,7,12.60
models/ppo_profitbandit_1e6.zip,1,5,3,34.20,11,55,44,0,47.27,6,10.80
models/ppo_profitbandit_1e6.zip,1,5,4,10.15,6,51,44,0,53.14,11,18.20
models/ppo_profitbandit_1e6.zip,1,6,0,34.20,11,65,54,0,54.31,6,10.80
models/ppo_profitbandit_1e6.zip,1,6,1,22.50,9,66,57,0,59.09,8,14.40
models/ppo_profitbandit_1e6.zip,1,6,2,28.35,10,60,50,0,52.50,7,12.60
models/ppo_profitbandit_1e6.zip,1,6,3,22.50,9,60,51,0,53.17,8,14.40
models/ppo_profitbandit_1e6.zip,1,6,4,13.40,7,60,53,0,56.50,10,17.20
models/ppo_profitbandit_1e6.zip,1,7,0,26.40,10,66,54,0,47.27,7,13.20
models/ppo_profitbandit_1e6.zip,1,7,1,34.20,11,57,46,0,52.46,6,10.80
models/ppo_profitbandit_1e6.zip,1,7,2,21.85,8,56,48,0,48.57,9,14.60
models/ppo_profitbandit_1e6.zip,1,7,3,40.05,12,65,52,0,51.08,5,9.00
models/ppo_profitbandit_1e6.zip,1,7,4,32.25,10,67,57,0,54.48,7,11.40
models/ppo_profitbandit_1e6.zip,1,8,0,11.45,6,51,45,0,55.88,11,17.80
models/ppo_profitbandit_1e6.zip,1,8,1,28.35,10,73,63,0,55.07,7,12.60
models/ppo_profitbandit_1e6.zip,1,8,2,40.05,12,62,49,0,51.45,5,9.00
models/ppo_profitbandit_1e6.zip,1,8,3,23.80,9,63,54,0,49.05,8,14.00
models/ppo_profitbandit_1e6.zip,1,8,4,45.90,13,70,57,0,54.00,4,7.20
models/ppo_profitbandit_1e6.zip,1,9,0,22.50,9,71,61,0,53.24,8,14.40
models/ppo_profitbandit_1e6.zip,1,9,1,40.05,12,66,54,0,56.67,5,9.00
