model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo.zip,0,0,0,46.20,17,76,59,0,51.58,0,0.00
models/best_ppo.zip,0,0,1,37.20,15,52,36,0,50.58,2,3.60
models/best_ppo.zip,0,0,2,32.70,14,49,35,0,47.35,3,5.40
models/best_ppo.zip,0,0,3,41.70,16,57,41,0,48.60,1,1.80
models/best_ppo.zip,0,0,4,37.20,15,81,64,0,51.98,2,3.60
models/best_ppo.zip,0,0,5,32.70,14,62,47,0,51.13,3,5.40
models/best_ppo.zip,0,0,6,19.20,11,66,54,0,51.21,6,10.80
models/best_ppo.zip,0,0,7,28.20,13,65,51,0,46.15,4,7.20
models/best_ppo.zip,0,0,8,37.20,15,48,33,0,48.54,2,3.60
models/best_ppo.zip,0,0,9,28.20,13,64,51,0,50.78,4,7.20
models/best_ppo.zip,0,0,10,41.70,16,55,39,0,50.55,1,1.80
models/best_ppo.zip,0,0,11,46.20,17,52,35,0,43.08,0,0.00
models/best_ppo.zip,0,0,12,32.70,14,72,57,0,50.97,3,5.40
models/best_ppo.zip,0,0,13,37.20,15,58,43,0,50.86,2,3.60
models/best_ppo.zip,0,0,14,39.20,15,63,48,0,48.10,2,2.80
models/best_ppo.zip,0,0,15,32.70,14,65,51,0,52.31,3,5.40
models/best_ppo.zip,0,0,16,41.70,16,50,34,0,49.00,1,1.80
models/best_ppo.zip,0,0,17,26.70,13,45,32,0,50.44,4,7.80
models/best_ppo.zip,0,0,18,37.20,15,63,48,0,53.02,2,3.60
models/best_ppo.zip,0,0,19,41.70,16,52,36,0,46.73,1,1.80
models/best_ppo.zip,0,1,0,28.20,13,57,44,0,49.65,4,7.20
models/best_ppo.zip,0,1,1,32.70,14,54,39,0,48.15,3,5.40
models/best_ppo.zip,0,1,2,28.20,13,55,41,0,49.64,4,7.20
models/best_ppo.zip,0,1,3,23.70,12,57,43,0,52.11,5,9.00
models/best_ppo.zip,0,1,4,41.70,16,55,39,0,44.00,1,1.80
models/best_ppo.zip,0,1,5,16.20,11,51,40,0,49.22,6,12.00
models/best_ppo.zip,0,1,6,38.20,15,50,34,0,50.20,2,3.20
models/best_ppo.zip,0,1,7,32.70,14,53,39,0,43.96,3,5.40
models/best_ppo.zip,0,1,8,26.70,13,51,37,0,45.10,4,7.80
models/best_ppo.zip,0,1,9,37.20,15,56,41,0,46.79,2,3.60
models/best_ppo.zip,0,1,10,46.20,17,68,51,0,48.97,0,0.00
models/best_ppo.zip,0,1,11,41.70,16,61,45,0,49.84,1,1.80
models/best_ppo.zip,0,1,12,46.20,17,68,51,0,46.76,0,0.00
models/best_ppo.zip,0,1,13,46.20,17,61,44,0,48.69,0,0.00
models/best_ppo.zip,0,1,14,46.20,17,59,41,0,46.27,0,0.00
models/best_ppo.zip,0,1,15,32.70,14,62,47,0,49.84,3,5.40
models/best_ppo.zip,0,1,16,37.20,15,61,46,0,48.03,2,3.60
models/best_ppo.zip,0,1,17,32.70,14,78,64,0,54.74,3,5.40
models/best_ppo.zip,0,1,18,46.20,17,60,42,0,47.33,0,0.00
