model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo.zip,0,0,0,19.70,13,76,63,0,53.03,14,29.80
models/best_ppo.zip,0,0,1,8.80,10,52,41,0,53.46,14,28.40
models/best_ppo.zip,0,0,2,20.00,11,49,38,0,47.76,12,22.00
models/best_ppo.zip,0,0,3,16.50,13,57,44,0,49.47,15,33.00
models/best_ppo.zip,0,0,4,54.60,17,81,62,0,52.47,8,12.00
models/best_ppo.zip,0,1,0,37.60,14,57,43,0,46.84,11,18.80
models/best_ppo.zip,0,1,1,2.70,10,54,43,0,50.37,17,36.60
models/best_ppo.zip,0,1,2,12.60,10,55,44,0,51.45,15,28.80
models/best_ppo.zip,0,1,3,34.10,14,57,42,0,48.60,11,20.20
models/best_ppo.zip,0,1,4,13.60,11,55,44,0,47.64,14,28.40
models/best_ppo.zip,0,2,0,7.50,9,51,41,0,55.88,14,27.00
models/best_ppo.zip,0,2,1,0.80,9,68,59,0,55.29,15,31.60
models/best_ppo.zip,0,2,2,20.00,11,57,45,0,52.28,12,22.00
models/best_ppo.zip,0,2,3,45.00,15,62,47,0,49.52,8,12.00
models/best_ppo.zip,0,2,4,28.60,12,60,46,0,44.00,13,22.40
models/best_ppo.zip,0,3,0,-11.70,7,70,63,0,58.86,17,36.60
models/best_ppo.zip,0,3,1,6.90,11,44,32,0,48.64,15,33.00
models/best_ppo.zip,0,3,2,37.30,14,58,44,0,49.14,10,17.00
models/best_ppo.zip,0,3,3,-24.80,7,58,50,0,50.86,20,47.60
models/best_ppo.zip,0,3,4,-2.40,9,73,64,0,54.66,16,34.80
models/best_ppo.zip,0,4,0,24.90,13,69,54,0,51.01,13,25.80
models/best_ppo.zip,0,4,1,2.70,10,49,39,0,50.61,17,36.60
models/best_ppo.zip,0,4,2,-5.60,9,50,41,0,53.20,17,38.00
models/best_ppo.zip,0,4,3,17.50,12,56,44,0,52.32,11,23.00
models/best_ppo.zip,0,4,4,45.60,15,77,62,0,49.09,10,15.60
models/best_ppo.zip,0,5,0,-7.60,7,54,46,0,48.33,19,38.80
models/best_ppo.zip,0,5,1,25.10,12,64,52,0,51.25,13,23.80
models/best_ppo.zip,0,5,2,20.00,11,53,41,0,47.92,12,22.00
models/best_ppo.zip,0,5,3,-5.00,7,55,48,0,51.82,16,32.00
models/best_ppo.zip,0,5,4,31.50,12,51,38,0,45.69,11,17.40
models/best_ppo.zip,0,6,0,-10.40,8,65,57,0,55.23,17,38.00
models/best_ppo.zip,0,6,1,29.30,13,66,53,0,52.73,11,20.20
models/best_ppo.zip,0,6,2,34.10,14,60,46,0,52.33,11,20.20
models/best_ppo.zip,0,6,3,21.90,10,60,50,0,52.00,11,17.40
models/best_ppo.zip,0,6,4,36.00,13,60,47,0,50.00,10,15.60
models/best_ppo.zip,0,7,0,10.90,9,66,55,0,48.03,12,21.80
models/best_ppo.zip,0,7,1,9.10,10,57,47,0,54.74,15,30.20
models/best_ppo.zip,0,7,2,-16.80,8,56,48,0,47.68,19,44.40
models/best_ppo.zip,0,7,3,21.00,12,65,52,0,50.92,11,21.60
models/best_ppo.zip,0,7,4,21.60,10,67,56,0,53.28,10,15.60
models/best_ppo.zip,0,8,0,-10.40,8,51,43,0,52.75,17,38.00
models/best_ppo.zip,0,8,1,42.70,15,73,58,0,50.68,12,20.60
models/best_ppo.zip,0,8,2,26.40,11,62,50,0,49.84,10,15.60
models/best_ppo.zip,0,8,3,36.60,13,63,50,0,47.94,12,19.20
models/best_ppo.zip,0,8,4,24.90,11,70,59,0,53.71,10,16.20
models/best_ppo.zip,0,9,0,45.60,15,71,55,0,48.03,10,15.60
models/best_ppo.zip,0,9,1,25.10,12,66,54,0,55.45,13,23.80
models/best_ppo.zip,0,9,2,42.40,15,58,41,0,43.79,11,18.80
models/best_ppo.zip,0,9,3,-2.40,9,53,44,0,50.57,16,34.80
models/best_ppo.zip,0,9,4,40.50,14,66,52,0,51.52,9,13.80
models/best_ppo.zip,0,10,0,5.60,10,47,37,0,48.72,15,31.60
models/best_ppo.zip,0,10,1,45.60,15,72,55,0,48.89,10,15.60
models/best_ppo.zip,0,10,2,25.10,12,48,36,0,48.96,13,23.80
models/best_ppo.zip,0,10,3,38.90,15,77,60,0,51.04,11,20.20
models/best_ppo.zip,0,10,4,20.60,11,57,46,0,50.35,14,25.60
models/best_ppo.zip,0,11,0,16.80,11,62,50,0,49.84,13,25.20
models/best_ppo.zip,0,11,1,-12.90,7,49,42,0,53.47,18,39.00
models/best_ppo.zip,0,11,2,27.40,14,64,50,0,47.03,12,24.80
models/best_ppo.zip,0,11,3,15.20,12,66,54,0,51.06,15,31.60
models/best_ppo.zip,0,11,4,45.60,15,67,52,0,48.51,10,15.60
models/best_ppo.zip,0,12,0,7.20,11,56,45,0,50.00,16,34.80
models/best_ppo.zip,0,12,1,8.80,10,67,56,0,48.81,14,28.40
models/best_ppo.zip,0,12,2,13.60,11,53,41,0,51.89,14,28.40
models/best_ppo.zip,0,12,3,-3.40,8,45,36,0,56.89,17,35.20
models/best_ppo.zip,0,12,4,40.80,14,67,53,0,52.84,10,15.60
models/best_ppo.zip,0,13,0,26.10,13,66,53,0,49.39,12,23.40
models/best_ppo.zip,0,13,1,7.20,11,42,31,0,48.81,16,34.80
models/best_ppo.zip,0,13,2,40.80,14,65,51,0,51.23,10,15.60
models/best_ppo.zip,0,13,3,40.80,14,65,51,0,50.77,10,15.60
models/best_ppo.zip,0,13,4,-7.40,9,60,51,0,51.50,16,36.80
models/best_ppo.zip,0,14,0,45.60,15,59,43,0,48.14,10,15.60
models/best_ppo.zip,0,14,1,0.10,8,68,60,0,55.44,17,33.80
models/best_ppo.zip,0,14,2,34.70,14,50,36,0,44.00,13,23.80
models/best_ppo.zip,0,14,3,45.00,15,66,51,0,51.82,8,12.00
models/best_ppo.zip,0,14,4,16.10,10,61,50,0,49.51,15,27.40
models/best_ppo.zip,0,15,0,14.90,12,54,42,0,49.44,14,29.80
models/best_ppo.zip,0,15,1,31.20,12,64,52,0,53.28,10,15.60
models/best_ppo.zip,0,15,2,-21.60,7,55,48,0,56.18,19,44.40
models/best_ppo.zip,0,15,3,54.60,17,55,38,0,45.45,8,12.00
models/best_ppo.zip,0,15,4,9.10,10,54,44,0,53.33,15,30.20
models/best_ppo.zip,0,16,0,40.80,14,57,43,0,45.44,10,15.60
models/best_ppo.zip,0,16,1,38.30,15,62,46,0,45.48,9,16.60
models/best_ppo.zip,0,16,2,20.30,11,50,38,0,49.80,13,23.80
models/best_ppo.zip,0,16,3,-8.80,9,56,47,0,54.46,18,41.20
models/best_ppo.zip,0,16,4,45.60,15,74,59,0,49.32,10,15.60
models/best_ppo.zip,0,17,0,23.20,13,49,36,0,47.96,14,28.40
models/best_ppo.zip,0,17,1,8.50,12,66,54,0,48.33,16,36.20
models/best_ppo.zip,0,17,2,45.60,15,70,54,0,49.29,10,15.60
models/best_ppo.zip,0,17,3,34.40,14,60,44,0,47.83,12,22.00
models/best_ppo.zip,0,17,4,45.60,15,71,56,0,50.42,10,15.60
models/best_ppo.zip,0,18,0,32.20,13,57,44,0,49.12,9,15.20
models/best_ppo.zip,0,18,1,4.60,9,53,44,0,54.34,16,32.00
models/best_ppo.zip,0,18,2,59.10,18,74,56,0,50.54,7,10.20
models/best_ppo.zip,0,18,3,-9.50,6,40,34,0,52.25,17,33.80
models/best_ppo.zip,0,18,4,21.60,12,71,59,0,52.96,13,25.20
models/best_ppo.zip,0,19,0,15.20,12,51,38,0,47.84,15,31.60
models/best_ppo.zip,0,19,1,31.50,12,62,50,0,46.29,11,17.40
models/best_ppo.zip,0,19,2,30.60,14,58,44,0,48.62,11,21.60
models/best_ppo.zip,0,19,3,-6.80,7,52,45,0,58.27,15,30.80
models/best_ppo.zip,0,19,4,8.10,9,58,49,0,54.14,16,30.60
